,play,bpm,volume,sync,seq,pitch,rest,varname,chord,newline,{,->,*,+,++,-,--,>,>>,<,<<,num,(,[,octave,time,},&com;,),.,],~,EOF,PROG,ELEMSR,ELEM,ELEM2,VAR,NUM2,ELEMS,SEQ,SYNC,PLAY,CHORD,SUBBODY,NOTE,SUBNOTE,OCTAVE,REST,TIME
37,,,,,,,,,,REDUCE 17,,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,REDUCE 6,,REDUCE 6,REDUCE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,REDUCE 7,,REDUCE 7,REDUCE 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,REDUCE 31,,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,SHIFT 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,SHIFT 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,REDUCE 30,,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,SHIFT 67,,,,,,SHIFT 64,,,SHIFT 66,,,,,,,,,,,,,,,,,,,,,,63,65,,
45,,,,,,,,,,,,,,,,,,,,,,SHIFT 69,,,,SHIFT 70,,,,,,,,,,,,,,,,,,,,,,,,68
46,,,,,,,,,,,,,,,,,,,,,,SHIFT 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,SHIFT 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 3,,,,,,,,,,,,,,,,,
49,,,,,,,,,,SHIFT 73,,SHIFT 28,SHIFT 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,,,,,,,,,,,,,,,,,,,,,,,,,,74,49,6,13,,75,10,9,,14,,11,,,12,
51,,,,,,,,,,SHIFT 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,,,,,,,,,,,,,,,,,,SHIFT 78,,,,,,,,,79,6,13,,77,10,9,,14,,11,,,12,
53,,,,,,,,,,SHIFT 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,REDUCE 28,,,,,,,,,REDUCE 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,REDUCE 8,,REDUCE 8,REDUCE 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,REDUCE 9,,REDUCE 9,REDUCE 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
